region	sector	indout
BG	Processing vegetable oils and fats	345.72856784
BG	Processing of dairy products	886.888514114
BG	Processed rice	4.06423096885
BG	Sugar refining	207.830858349
BG	Processing of Food products nec	2560.92240892
BG	Manufacture of beverages	1272.21468907
BG	Manufacture of fish products	141.685926426
BG	Manufacture of tobacco products (16)	948.750300178
BG	Manufacture of textiles (17)	1635.72042217
BG	Manufacture of wearing apparel; dressing and dyeing of fur (18)	1779.2326304
BG	Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)	348.259483727
BG	Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)	706.273259024
BG	Re-processing of secondary wood material into new wood material	9.8675017563
BG	Pulp	191.442131516
BG	Re-processing of secondary paper into new pulp	65.4876362698
BG	Paper	454.674189707
BG	Publishing, printing and reproduction of recorded media (22)	852.31017366
BG	Manufacture of coke oven products	15.5349731765
BG	Petroleum Refinery	5152.3219145
BG	Processing of nuclear fuel	0
BG	Plastics, basic	14.1516412743
BG	Re-processing of secondary plastic into new plastic	49.2179542152
BG	N-fertiliser	0.376408703739
BG	P- and other fertiliser	313.943043457
BG	Chemicals nec	2382.90710084
BG	Manufacture of rubber and plastic products (25)	1306.41165869
BG	Manufacture of glass and glass products	319.921299825
BG	Re-processing of secondary glass into new glass	15.7519501803
BG	Manufacture of ceramic goods	191.293832331
BG	Manufacture of bricks, tiles and construction products, in baked clay	49.8954230241
BG	Manufacture of cement, lime and plaster	957.288784317
BG	Re-processing of ash into clinker	133.216656278
BG	Manufacture of other non-metallic mineral products n.e.c.	182.96751831
BG	Manufacture of basic iron and steel and of ferro-alloys and first products thereof	50.1024673157
BG	Re-processing of secondary steel into new steel	25.0134542636
BG	Precious metals production	15.0077352992
BG	Re-processing of secondary preciuos metals into new preciuos metals	0
BG	Aluminium production	113.619505072
BG	Re-processing of secondary aluminium into new aluminium	375.979748249
BG	Lead, zinc and tin production	746.698632963
BG	Re-processing of secondary lead into new lead, zinc and tin	0
BG	Copper production	4531.50388869
BG	Re-processing of secondary copper into new copper	60.212023352
BG	Other non-ferrous metal production	37.6956045717
BG	Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	0
BG	Casting of metals	151.229162555
BG	Manufacture of fabricated metal products, except machinery and equipment (28)	2024.13803123
BG	Manufacture of machinery and equipment n.e.c. (29)	3332.59338505
BG	Manufacture of office machinery and computers (30)	193.393783185
BG	Manufacture of electrical machinery and apparatus n.e.c. (31)	1348.46300781
BG	Manufacture of radio, television and communication equipment and apparatus (32)	299.592886559
BG	Manufacture of medical, precision and optical instruments, watches and clocks (33)	390.946289923
BG	Manufacture of motor vehicles, trailers and semi-trailers (34)	344.660925027
BG	Manufacture of other transport equipment (35)	607.467155497
BG	Manufacture of furniture; manufacturing n.e.c. (36)	1100.92333669
BG	Recycling of waste and scrap	3.84795714918
BG	Recycling of bottles by direct reuse	30.6861207392
BG	Production of electricity by coal	1132.08103196
BG	Production of electricity by gas	190.94976818
BG	Production of electricity by nuclear	658.634385234
BG	Production of electricity by hydro	149.910784611
BG	Production of electricity by wind	1.84402720056
BG	Production of electricity by petroleum and other oil derivatives	23.050263894
BG	Production of electricity by biomass and waste	1.42808062382
BG	Production of electricity by solar photovoltaic	0
BG	Production of electricity by solar thermal	0
BG	Production of electricity by tide, wave, ocean	0
BG	Production of electricity by Geothermal	0
BG	Production of electricity nec	3.71457879106
BG	Transmission of electricity	498.768243275
BG	Distribution and trade of electricity	1262.29329127
BG	Manufacture of gas; distribution of gaseous fuels through mains	274.922300663
BG	Steam and hot water supply	427.690215472
BG	Collection, purification and distribution of water (41)	482.387507526
BG	Construction (45)	13129.8829321
BG	Re-processing of secondary construction material into aggregates	0
BG	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	837.929684443
BG	Retail sale of automotive fuel	382.600586861
BG	Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)	5934.30498292
BG	Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)	4446.85936626
BG	Hotels and restaurants (55)	5347.02465294
BG	Transport via railways	2302.47309604
BG	Other land transport	5156.66828473
BG	Transport via pipelines	183.653322478
BG	Sea and coastal water transport	833.904805957
